,Sym,Name,Industry,M Cap,%5d
999,KKC,KKR CREDIT INCOME FUND,Not Applic,$774M,2.5641025641025665
1000,KMD,KMD BRANDS LIMITED,Consumer Discretionary Distribution & Retail,$276M,0.0
1001,KNM,KNEOMEDIA LIMITED,Media & Entertainment,NaN,0.0
1002,KNO,KNOSYS LIMITED,Software & Services,$10M,6.818181818181825
1003,KOB,KOBA RESOURCES LIMITED,Materials,$12M,-1.2987012987012998
1004,KGN,KOGAN.COM LTD,Consumer Discretionary Distribution & Retail,$622M,2.605863192182413
1005,KNB,KOONENBERRY GOLD LIMITED,Materials,$11M,8.333333333333341
1006,KOR,KORAB RESOURCES LIMITED,Materials,NaN,0.0
1007,KP2,KORE POTASH PLC,Materials,$197M,-17.647058823529402
1008,KOV,KORVEST LTD,Capital Goods,$120M,0.39215686274510714
1009,KTA,KRAKATOA RESOURCES LIMITED,Materials,$6M,-5.000000000000004
1010,KGD,KULA GOLD LIMITED,Materials,$4M,-14.285714285714286
1011,KNI,KUNIKO LIMITED,Materials,$16M,5.555555555555561
1012,LSF,L1 LONG SHORT FUND LIMITED,Not Applic,$2B,-0.33670033670034444
1013,LRL,LABYRINTH RESOURCES LIMITED,Materials,$134M,-7.843137254901957
1014,LSA,LACHLAN STAR LIMITED,Materials,$18M,1.4492753623188417
1015,LKE,LAKE RESOURCES N.L.,Materials,$69M,2.500000000000002
1016,LKO,LAKES BLUE ENERGY NL,Energy,NaN,0.0
1017,LHM,LAND & HOMES GROUP LIMITED,Real Estate Management & Development,NaN,0.0
1018,LNR,LANTHANEIN RESOURCES LTD,Materials,$6M,0.0
1019,LAM,LARAMIDE RESOURCES LTD,Energy,$192M,0.0
1020,LRK,LARK DISTILLING CO. LTD,"Food, Beverage & Tobacco",$113M,1.8018018018018032
1021,LRV,LARVOTTO RESOURCES LIMITED,Materials,$177M,16.279069767441865
1022,LBL,LASERBOND LIMITED,Capital Goods,$65M,0.9090909090909098
1023,LRS,LATIN RESOURCES LIMITED,Materials,$420M,3.448275862068969
1024,LAT,LATITUDE 66 LIMITED,Materials,$9M,-14.545454545454547
1025,LFS,LATITUDE GROUP HOLDINGS LIMITED,Financial Services,$1B,1.9308226515220114e-14
1026,LMG,LATROBE MAGNESIUM LIMITED,Materials,$47M,7.89473684210527
1027,LAW,LAWFINANCE LIMITED,Financial Services,NaN,0.0
1028,LCL,LCL RESOURCES LIMITED,Materials,$11M,1.927470528863119e-14
1029,LM1,LEEUWIN METALS LTD,Materials,$8M,116.66666666666669
1030,LEX,LEFROY EXPLORATION LIMITED,Materials,$17M,2.9411764705882377
1031,LCY,LEGACY IRON ORE LIMITED,Materials,$88M,0.0
1032,LGM,LEGACY MINERALS HOLDINGS LIMITED,Materials,$18M,0.0
1033,LEG,LEGEND MINING LIMITED,Materials,$29M,22.222222222222225
1034,LLC,LENDLEASE GROUP,Real Estate Management & Development,$4B,2.265372168284799
1035,LLL,LEO LITHIUM LIMITED,Materials,NaN,0.0
1036,LPD,LEPIDICO LTD,Materials,NaN,0.0
1037,LGI,LGI LIMITED,Utilities,$262M,-1.3157894736842117
1038,LIS,LI-S ENERGY LIMITED,Capital Goods,$80M,-16.666666666666664
1039,LFG,LIBERTY FINANCIAL GROUP,Financial Services,$972M,-2.12765957446808
1040,360,LIFE360 INC.,Software & Services,$5B,3.54578096947935
1041,LIC,LIFESTYLE COMMUNITIES LIMITED,Real Estate Management & Development,$1B,8.17843866171004
1042,LNW,LIGHT & WONDER INC.,Consumer Services,$12B,-0.37832821757441726
1043,L1M,LIGHTNING MINERALS LTD,Materials,$8M,2.7777777777777803
1044,LML,LINCOLN MINERALS LIMITED,Materials,$12M,0.0
1045,LIN,LINDIAN RESOURCES LIMITED,Materials,$92M,1.2658227848101278
1046,LAU,LINDSAY AUSTRALIA LIMITED,Transportation,$280M,2.285714285714288
1047,LNU,LINIUS TECHNOLOGIES LIMITED,Software & Services,$12M,33.333333333333336
1048,LIO,LION ENERGY LIMITED,Energy,$9M,0.0
1049,LSX,LION SELECTION GROUP LIMITED.,Not Applic,$75M,3.8461538461538494
1050,LTR,LIONTOWN RESOURCES LIMITED,Materials,$1B,1.3888888888888797
1051,LMS,LITCHFIELD MINERALS LIMITED,Materials,$4M,0.0
1052,LEL,LITHIUM ENERGY LIMITED,Materials,NaN,0.0
1053,LPM,LITHIUM PLUS MINERALS LTD.,Materials,$11M,-7.6923076923076845
1054,LU7,LITHIUM UNIVERSE LIMITED,Materials,$8M,-11.111111111111104
1055,LGP,LITTLE GREEN PHARMA LTD,"Pharmaceuticals, Biotechnology & Life Sciences",$36M,4.0000000000000036
1056,LV1,LIVE VERDURE LTD,"Food, Beverage & Tobacco",$125M,9.999999999999995
1057,LVH,LIVEHIRE LIMITED,Software & Services,$21M,0.0
1058,LIT,LIVIUM LTD,Materials,$23M,0.0
1059,LPE,LOCALITY PLANNING ENERGY HOLDINGS LIMITED,Utilities,$26M,-3.4482758620689498
1060,LKY,LOCKSLEY RESOURCES LIMITED,Materials,$2M,0.0
1061,LDR,LODE RESOURCES LTD,Materials,$15M,2.222222222222224
1062,LSR,LODESTAR MINERALS LIMITED,Materials,$3M,-11.764705882352951
1063,LCE,LONDON CITY EQUITIES LIMITED,Financial Services,$26M,1.33761810195802e-14
1064,LRD,LORD RESOURCES LIMITED,Materials,$2M,-4.0000000000000036
1065,LOT,LOTUS RESOURCES LIMITED,Materials,$437M,2.7777777777777803
1066,LVE,LOVE GROUP GLOBAL LTD,Software & Services,$5M,0.0
1067,LOV,LOVISA HOLDINGS LIMITED,Consumer Discretionary Distribution & Retail,$3B,2.44310575635877
1068,LRT,LOWELL RESOURCES FUND,Not Applic,$45M,-0.46511627906975755
1069,LLI,LOYAL LITHIUM LIMITED,Materials,$12M,13.636363636363635
1070,LTP,LTR PHARMA LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$149M,-1.1764705882352953
1071,LOM,LUCAPA DIAMOND COMPANY LIMITED,Materials,$7M,17.647058823529406
1072,LDX,LUMOS DIAGNOSTICS HOLDINGS LIMITED,Health Care Equipment & Services,$27M,1.927470528863119e-14
1073,LM8,LUNNON METALS LIMITED,Materials,$46M,0.0
1074,LYN,LYCAON RESOURCES LTD,Materials,$5M,16.04938271604938
1075,LYL,LYCOPODIUM LIMITED,Capital Goods,$403M,-0.09940357852882492
1076,LYK,LYKOS METALS LIMITED,Materials,$2M,1.3344026738283132e-14
1077,LYC,LYNAS RARE EARTHS LIMITED,Materials,$6B,0.15384615384615058
1078,LGL,LYNCH GROUP HOLDINGS LIMITED,"Food, Beverage & Tobacco",$217M,0.0
1079,M3M,M3 MINING LIMITED,Materials,$3M,0.0
1080,M8S,M8 SUSTAINABLE LIMITED,Commercial & Professional Services,NaN,0.0
1081,MAF,MA FINANCIAL GROUP LIMITED,Financial Services,$1B,5.141843971631206
1082,MGH,MAAS GROUP HOLDINGS LIMITED,Capital Goods,$2B,0.21413276231262926
1083,MAC,MAC COPPER LIMITED,Materials,$1B,3.2239155920281406
1084,MIO,MACARTHUR MINERALS LIMITED,Materials,$9M,2.3255813953488396
1085,M7T,MACH7 TECHNOLOGIES LIMITED,Health Care Equipment & Services,$87M,12.307692307692301
1086,MAH,MACMAHON HOLDINGS LIMITED,Materials,$765M,2.85714285714286
1087,MQG,MACQUARIE GROUP LIMITED,Financial Services,$85B,0.11606624704255138
1088,MAQ,MACQUARIE TECHNOLOGY GROUP LIMITED,Software & Services,$2B,3.9942252165543706
1089,M4M,MACRO METALS LIMITED,Materials,$56M,0.0
1090,M4MN,MACRO METALS LIMITED,Materials,$56M,0.0
1091,MPA,MAD PAWS HOLDINGS LIMITED,Consumer Services,$29M,4.4776119402985115
1092,MAD,MADER GROUP LIMITED,Commercial & Professional Services,$1B,-3.225806451612906
1093,MFG,MAGELLAN FINANCIAL GROUP LIMITED,Financial Services,$2B,2.380952380952379
1094,MBH,MAGGIE BEER HOLDINGS LTD,"Food, Beverage & Tobacco",$19M,0.0
1095,MAG,MAGMATIC RESOURCES LIMITED,Materials,$13M,10.714285714285712
1096,MAU,MAGNETIC RESOURCES NL,Materials,$293M,-2.2222222222222143
1097,MAUCA,MAGNETIC RESOURCES NL,Materials,$293M,0.0
1098,MGT,MAGNETITE MINES LIMITED.,Materials,$14M,4.3478260869565135
1099,MNS,MAGNIS ENERGY TECHNOLOGIES LTD,Materials,NaN,0.0
1100,MGU,MAGNUM MINING AND EXPLORATION LIMITED,Materials,$7M,11.111111111111121
1101,MGL,MAGONTEC LIMITED,Materials,$15M,0.0
1102,MKG,MAKO GOLD LIMITED,Materials,$13M,0.0
1103,M24,MAMBA EXPLORATION LIMITED,Materials,$3M,0.0
1104,MAN,MANDRAKE RESOURCES LIMITED,Materials,$14M,0.0
1105,MHC,MANHATTAN CORPORATION LIMITED,Energy,$5M,-13.636363636363635
1106,MTL,MANTLE MINERALS LIMITED,Materials,$6M,0.0
1107,MKR,MANUKA RESOURCES LTD.,Materials,$23M,7.6923076923077
1108,MPK,MANY PEAKS MINERALS LTD,Materials,$16M,5.263157894736847
1109,MEU,MARMOTA LIMITED,Energy,$41M,0.0
1110,MMA,MARONAN METALS LIMITED,Materials,$42M,2.564102564102566
1111,MQR,MARQUEE RESOURCES LIMITED,Materials,$6M,0.0
1112,MVL,MARVEL GOLD LIMITED,Materials,$8M,1.927470528863119e-14
1113,MYE,MASTERMYNE GROUP LIMITED,Materials,$46M,3.225806451612906
1114,MCE,MATRIX COMPOSITES & ENGINEERING LIMITED,Energy,$54M,2.040816326530614
1115,MAT,MATSA RESOURCES LIMITED,Materials,$20M,-10.000000000000007
1116,MXR,MAXIMUS RESOURCES LIMITED,Materials,$19M,2.2727272727272747
1117,MXI,MAXIPARTS LIMITED,Capital Goods,$104M,4.469273743016764
1118,MFD,MAYFIELD CHILDCARE LIMITED,Consumer Services,$32M,0.0
1119,MYG,MAYFIELD GROUP HOLDINGS LIMITED,Capital Goods,$72M,2.5974025974025996
1120,MYX,MAYNE PHARMA GROUP LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$379M,-1.8556701030927807
1121,MRL,MAYUR RESOURCES LIMITED,Materials,$124M,-4.9180327868852505
1122,MCM,MC MINING LIMITED,Energy,$60M,-13.793103448275858
1123,MML,MCLAREN MINERALS LIMITED,Materials,$5M,0.0
1124,MMS,MCMILLAN SHAKESPEARE LIMITED,Commercial & Professional Services,$1B,4.60666194188519
1125,MCP,MCPHERSON'S LIMITED,Household & Personal Products,$44M,3.278688524590167
1126,MSG,MCS SERVICES LIMITED,Commercial & Professional Services,$594K,0.0
1127,MMR,MEC RESOURCES LIMITED,Energy,$9M,25.0
1128,MDR,MEDADVISOR LIMITED,Health Care Equipment & Services,$121M,-14.814814814814817
1129,MM8,MEDALLION METALS LIMITED.,Materials,$45M,13.402061855670102
1130,MPL,MEDIBANK PRIVATE LIMITED,Insurance,$10B,1.5873015873015888
1131,MVP,MEDICAL DEVELOPMENTS INTERNATIONAL LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$46M,3.164556962025319
1132,MDC,MEDLAB CLINICAL LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",NaN,0.0
1133,MEK,MEEKA METALS LIMITED,Materials,$180M,2.6315789473684235
1134,MEG,MEGADO MINERALS LTD,Materials,$6M,-6.250000000000005
1135,MP1,MEGAPORT LIMITED,Software & Services,$1B,2.013422818791951
1136,MAY,MELBANA ENERGY LIMITED,Energy,$88M,0.0
1137,MEM,MEMPHASYS LIMITED.,"Pharmaceuticals, Biotechnology & Life Sciences",$11M,0.0
1138,MHI,MERCHANT HOUSE INTERNATIONAL LIMITED,Consumer Durables & Apparel,$12M,15.384615384615378
1139,MCY,MERCURY NZ LIMITED,Utilities,$8B,4.76635514018693
1140,MEZ,MERIDIAN ENERGY LIMITED,Utilities,$14B,4.474708171206235
1141,MNC,MERINO & CO. LIMITED,Consumer Durables & Apparel,$24M,-12.121212121212132
1142,MSB,MESOBLAST LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$3B,-7.540983606557377
1143,MBK,METAL BANK LIMITED,Materials,$7M,7.142857142857137
1144,MHK,METAL HAWK LIMITED.,Materials,$32M,0.0
1145,MLS,METALS AUSTRALIA LTD,Materials,$16M,4.761904761904749
1146,MLX,METALS X LIMITED,Materials,$359M,-0.6097560975609626
1147,MGA,METALSGROVE MINING LTD,Materials,$5M,-3.7037037037036944
1148,MTC,METALSTECH LIMITED,Materials,$27M,0.0
1149,MTS,METCASH LIMITED,Consumer Staples Distribution & Retail,$3B,0.6410256410256415
1150,MEI,METEORIC RESOURCES NL,Materials,$198M,9.876543209876536
1151,MEL,METGASCO LTD,Energy,$6M,0.0
1152,MOT,METRICS INCOME OPPORTUNITIES TRUST,Not Applic,$707M,0.9433962264150951
1153,MXT,METRICS MASTER INCOME TRUST,Not Applic,$2B,1.1904761904761862
1154,MRE,METRICS REAL ESTATE MULTI-STRATEGY FUND,Not Applic,$301M,0.759493670886071
1155,MMI,METRO MINING LIMITED,Materials,$334M,4.464285714285718
1156,MPP,METRO PERFORMANCE GLASS LIMITED,Capital Goods,$11M,0.0
1157,MFF,MFF CAPITAL INVESTMENTS LIMITED,Not Applic,$3B,1.0845986984815579
1158,MHJ,MICHAEL HILL INTERNATIONAL LIMITED,Consumer Discretionary Distribution & Retail,$223M,2.654867256637171
1159,MX1,MICRO-X LIMITED,Health Care Equipment & Services,$49M,-3.6144578313253044
1160,MAP,MICROBA LIFE SCIENCES LIMITED,Health Care Equipment & Services,$83M,2.6315789473684235
1161,MAM,MICROEQUITIES ASSET MANAGEMENT GROUP LIMITED,Financial Services,$68M,-1.9047619047619064
1162,MM1,MIDAS MINERALS LTD,Materials,$9M,-3.797468354430383
1163,MDI,MIDDLE ISLAND RESOURCES LIMITED,Materials,$4M,-7.142857142857137
1164,MWY,MIDWAY LIMITED,Materials,$108M,3.7815126050420296
1165,MKL,MIGHTY KINGDOM LIMITED,Media & Entertainment,NaN,0.0
1166,MNB,MINBOS RESOURCES LIMITED,Materials,$59M,9.259259259259268
1167,MDX,MINDAX LIMITED,Materials,$78M,0.0
1168,MRC,MINERAL COMMODITIES LTD,Materials,NaN,0.0
1169,MIN,MINERAL RESOURCES LIMITED,Materials,$7B,3.6027853466545494
1170,MI6,MINERALS 260 LIMITED,Materials,$29M,-3.8461538461538494
1171,MRR,MINREX RESOURCES LIMITED,Materials,$9M,14.285714285714286
1172,M2R,MIRAMAR RESOURCES LIMITED,Materials,$2M,0.0
1173,MIR,MIRRABOOKA INVESTMENTS LIMITED,Not Applic,$660M,0.29673590504450403
1174,MGR,MIRVAC GROUP,Equity Real Estate Investment Trusts (REITs),$8B,3.125000000000003
1175,MSV,MITCHELL SERVICES LIMITED,Materials,$69M,0.0
1176,MTH,MITHRIL SILVER AND GOLD LIMITED,Materials,$56M,4.109589041095894
1177,MLG,MLG OZ LIMITED,Materials,$81M,4.761904761904766
1178,MOM,MOAB MINERALS LIMITED,Materials,$3M,0.0
1179,MOH,MOHO RESOURCES LIMITED,Materials,$3M,0.0
1180,MND,MONADELPHOUS GROUP LIMITED,Capital Goods,$1B,3.4149962880475058
1181,MVF,MONASH IVF GROUP LIMITED,Health Care Equipment & Services,$483M,2.4590163934426252
1182,MME,MONEYME LIMITED,Financial Services,$144M,17.64705882352941
1183,MRZ,MONT ROYAL RESOURCES LIMITED,Materials,$4M,1.6136962567226113e-14
1184,1MC,MORELLA CORPORATION LIMITED,Materials,$9M,3.5714285714285747
1185,MEC,MORPHIC ETHICAL EQUITIES FUND LIMITED,Financial Services,$38M,0.0
1186,MOZ,MOSAIC BRANDS LIMITED,Consumer Discretionary Distribution & Retail,NaN,0.0
1187,MXO,MOTIO LTD,Media & Entertainment,$8M,-11.428571428571438
1188,MTO,MOTORCYCLE HOLDINGS LIMITED,Consumer Discretionary Distribution & Retail,$139M,1.3368983957219203
1189,MTB,MOUNT BURGESS MINING NL,Materials,$1M,0.0
1190,MGX,MOUNT GIBSON IRON LIMITED,Materials,$361M,-4.838709677419359
1191,MHM,MOUNT HOPE MINING LIMITED,Materials,$8M,0.0
1192,MRDDB,MOUNT RIDLEY MINES LIMITED,Materials,NaN,0.0
1193,MOV,MOVE LOGISTICS GROUP LIMITED,Transportation,$22M,0.0
1194,MPR,MPOWER GROUP LIMITED,Financial Services,$3M,1.927470528863119e-14
1195,MRQ,MRG METALS LIMITED,Materials,$11M,60.0
1196,M2M,MT MALCOLM MINES NL,Materials,$5M,-4.0000000000000036
1197,MTM,MTM CRITICAL METALS LIMITED,Materials,$75M,55.172413793103466
1198,MSI,MULTISTACK INTERNATIONAL LIMITED,Capital Goods,$545K,0.0
1199,MCA,MURRAY COD AUSTRALIA LIMITED,"Food, Beverage & Tobacco",$143M,12.500000000000012
1200,MPX,MUSTERA PROPERTY GROUP LIMITED,Real Estate Management & Development,$38M,0.0
1201,MBX,MY FOODIE BOX LIMITED,Consumer Staples Distribution & Retail,NaN,0.0
1202,MRI,MY REWARDS INTERNATIONAL LIMITED,Commercial & Professional Services,NaN,0.0
1203,MCO,MYECO GROUP LTD,Materials,$14M,2.0833333333333353
1204,MYR,MYER HOLDINGS LIMITED,Consumer Discretionary Distribution & Retail,$1B,5.43933054393305
1205,MYS,MYSTATE LIMITED,Banks,$495M,2.5882352941176547
1206,N1H,N1 HOLDINGS LIMITED,Financial Services,$11M,0.0
1207,NAG,NAGAMBIE RESOURCES LIMITED,Materials,$14M,6.250000000000005
1208,NC6,NANOLLOSE LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$4M,0.0
1209,NAN,NANOSONICS LIMITED,Health Care Equipment & Services,$935M,1.013513513513522
1210,NVU,NANOVEU LIMITED,Technology Hardware & Equipment,$17M,0.0
1211,NCC,NAOS EMERGING OPPORTUNITIES COMPANY LIMITED,Not Applic,$27M,2.85714285714286
1212,NAC,NAOS EX-50 OPPORTUNITIES COMPANY LIMITED,Not Applic,$20M,6.329113924050624
1213,NSC,NAOS SMALL CAP OPPORTUNITIES COMPANY LIMITED,Not Applic,$54M,3.8961038961038996
1214,NYM,NARRYER METALS LIMITED,Materials,$8M,2.0833333333333353
1215,NAB,NATIONAL AUSTRALIA BANK LIMITED,Banks,$115B,0.6182795698924647
1216,NSR,NATIONAL STORAGE REIT,Equity Real Estate Investment Trusts (REITs),$3B,2.742616033755272
1217,NMR,NATIVE MINERAL RESOURCES HOLDINGS LIMITED,Materials,$19M,5.405405405405411
1218,NGI,NAVIGATOR GLOBAL INVESTMENTS LIMITED,Financial Services,$823M,8.25396825396826
1219,NES,NELSON RESOURCES LIMITED.,Materials,$5M,0.0
1220,NMT,NEOMETALS LTD,Materials,$55M,2.8571428571428594
1221,NET,NETLINKZ LIMITED,Software & Services,$12M,0.0
1222,NWL,NETWEALTH GROUP LIMITED,Financial Services,$7B,3.2850582832921345
1223,NEU,NEUREN PHARMACEUTICALS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$2B,-1.8341307814991918
1224,NRZ,NEURIZER LTD,Materials,$6M,0.0
1225,NUZ,NEURIZON THERAPEUTICS LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$81M,3.030303030303033
1226,NSB,NEUROSCIENTIFIC BIOPHARMACEUTICALS LTD,"Pharmaceuticals, Biotechnology & Life Sciences",$5M,-10.810810810810803
1227,NTI,NEUROTECH INTERNATIONAL LIMITED,Health Care Equipment & Services,$58M,2.7777777777777803
1228,NAE,NEW AGE EXPLORATION LIMITED,Energy,$9M,0.0
1229,NFM,NEW FRONTIER MINERALS LIMITED,Materials,$25M,38.46153846153848
1230,NHC,NEW HOPE CORPORATION LIMITED,Energy,$4B,2.8513238289205636
1231,NMG,NEW MURCHISON GOLD LIMITED,Materials,$74M,-9.999999999999993
1232,NWC,NEW WORLD RESOURCES LIMITED,Materials,$48M,1.927470528863119e-14
1233,NZS,NEW ZEALAND COASTAL SEAFOODS LIMITED,"Food, Beverage & Tobacco",NaN,0.0
1234,NZK,NEW ZEALAND KING SALMON INVESTMENTS LIMITED,"Food, Beverage & Tobacco",$110M,12.499999999999996
1235,NWF,NEWFIELD RESOURCES LIMITED,Materials,NaN,0.0
1236,NEM,NEWMONT CORPORATION,Materials,$69B,1.6774622155788041
1237,NPM,NEWPEAK METALS LIMITED,Materials,$4M,1.3344026738283132e-14
1238,NWS,NEWS CORPORATION..,Media & Entertainment,$29B,0.9079903147699672
1239,NWSLV,NEWS CORPORATION..,Media & Entertainment,$29B,0.0
1240,NME,NEX METALS EXPLORATION LIMITED,Materials,$10M,5.263157894736847
1241,NXG,NEXGEN ENERGY (CANADA) LTD,Energy,$6B,-1.2389380530973502
1242,NNG,NEXION GROUP LTD,Software & Services,NaN,0.0
1243,NXS,NEXT SCIENCE LIMITED,Health Care Equipment & Services,$35M,0.0
1244,NXT,NEXTDC LIMITED,Software & Services,$10B,1.912928759894465
1245,NXD,NEXTED GROUP LIMITED,Consumer Services,$33M,-3.3333333333333366
1246,NXM,NEXUS MINERALS LIMITED,Materials,$22M,-10.20408163265307
1247,NGE,NGE CAPITAL LIMITED,Not Applic,$38M,0.9433962264150951
1248,NGX,NGX LIMITED,Materials,$16M,8.823529411764698
1249,NH3,NH3 CLEAN ENERGY LIMITED,Materials,$10M,0.0
1250,NHF,NIB HOLDINGS LIMITED,Insurance,$3B,1.6393442622950793
1251,NCK,NICK SCALI LIMITED,Consumer Discretionary Distribution & Retail,$1B,0.5901639344262286
1252,NIC,NICKEL INDUSTRIES LIMITED,Materials,$4B,1.8292682926829285
1253,NC1,NICO RESOURCES LIMITED,Materials,$10M,1.111111111111112
1254,NDO,NIDO EDUCATION LIMITED,Consumer Services,$174M,0.6578947368421059
1255,NIM,NIMY RESOURCES LIMITED,Materials,$11M,-8.823529411764714
1256,NEC,NINE ENTERTAINMENT CO. HOLDINGS LIMITED,Media & Entertainment,$2B,-0.40322580645160433
1257,NHE,NOBLE HELIUM LIMITED,Energy,$27M,-2.127659574468087
1258,NOL,NOBLEOAK LIFE LIMITED,Insurance,$148M,-3.3232628398791504
1259,NNL,NORDIC RESOURCES LTD,Materials,$10M,0.0
1260,NFL,NORFOLK METALS LIMITED,Materials,$4M,3.157894736842108
1261,NRX,NORONEX LIMITED,Materials,$5M,0.0
1262,NSM,NORTH STAWELL MINERALS LTD,Materials,$5M,0.0
1263,NTU,NORTHERN MINERALS LIMITED,Materials,$166M,4.761904761904749
1264,NST,NORTHERN STAR RESOURCES LTD,Materials,$18B,1.6960208741030645
1265,NWM,NORWEST MINERALS LIMITED,Materials,$8M,-20.0
1266,NOR,NORWOOD SYSTEMS LIMITED,Software & Services,$16M,10.000000000000009
1267,NOU,NOUMI LIMITED,"Food, Beverage & Tobacco",$44M,3.1250000000000027
1268,EYE,NOVA EYE MEDICAL LIMITED,Health Care Equipment & Services,$34M,-3.225806451612906
1269,NVA,NOVA MINERALS LIMITED,Materials,$97M,23.21428571428571
1270,NOV,NOVATTI GROUP LIMITED,Software & Services,$15M,3.5714285714285747
1271,NVQ,NOVIQTECH LIMITED,Software & Services,$26M,-7.9999999999999964
1272,NVO,NOVO RESOURCES CORP.,Materials,$33M,1.0752688172043021
1273,NVX,NOVONIX LIMITED,Technology Hardware & Equipment,$361M,13.934426229508208
1274,NOX,NOXOPHARM LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$29M,6.451612903225812
1275,NWH,NRW HOLDINGS LIMITED,Capital Goods,$2B,0.2597402597402542
1276,NSX,NSX LIMITED,Financial Services,$11M,0.0
1277,NTM,NT MINERALS LIMITED,Materials,$4M,-33.333333333333336
1278,NTD,NTAW HOLDINGS LIMITED,Consumer Discretionary Distribution & Retail,$44M,0.0
1279,NUC,NUCHEV LIMITED,"Food, Beverage & Tobacco",$17M,0.0
1280,NCR,NUCOAL RESOURCES LIMITED,Materials,NaN,0.0
1281,NGY,NUENERGY GAS LIMITED,Energy,$32M,5.555555555555561
1282,NUF,NUFARM LIMITED,Materials,$1B,-2.710027100271005
1283,NUH,NUHEARA LIMITED,Technology Hardware & Equipment,NaN,0.0
1284,NXL,NUIX LIMITED,Software & Services,$2B,4.833333333333334
1285,NGS,NUTRITIONAL GROWTH SOLUTIONS LTD,Household & Personal Products,$6M,0.0
1286,NYR,NYRADA INC.,"Pharmaceuticals, Biotechnology & Life Sciences",$20M,-6.122448979591842
1287,NZM,NZME LIMITED,Media & Entertainment,$185M,2.040816326530614
1288,OKJ,OAKAJEE CORPORATION LIMITED,Materials,$732K,0.0
1289,OAK,OAKRIDGE INTERNATIONAL LIMITED,Software & Services,$1M,0.0
1290,OCL,OBJECTIVE CORPORATION LIMITED,Software & Services,$2B,-0.18248175182482443
1291,OCN,OCEANA LITHIUM LIMITED,Materials,$4M,4.0000000000000036
1292,OCA,OCEANIA HEALTHCARE LIMITED,Health Care Equipment & Services,$485M,-1.4814814814814827
1293,OCT,OCTAVA MINERALS LIMITED,Materials,$8M,0.0
1294,OD6,OD6 METALS LIMITED,Materials,$5M,40.62499999999999
1295,ODE,ODESSA MINERALS LIMITED,Materials,$10M,8.333333333333341
1296,ODY,ODYSSEY GOLD LTD,Materials,$16M,1.927470528863119e-14
1297,OFX,OFX GROUP LIMITED,Financial Services,$325M,-2.1660649819494604
1298,OLH,OLDFIELDS HOLDINGS LIMITED,Capital Goods,$14M,6.060606060606066
1299,OLI,OLIVER'S REAL FOOD LIMITED,Consumer Services,$5M,1.927470528863119e-14
1300,OLY,OLYMPIO METALS LIMITED,Commercial & Professional Services,$3M,0.0
1301,OMH,OM HOLDINGS LIMITED,Materials,$280M,1.4084507042253533
1302,OMA,OMEGA OIL & GAS LIMITED,Energy,$96M,13.20754716981131
1303,OBL,OMNI BRIDGEWAY LIMITED,Financial Services,$394M,5.054151624548741
1304,OM1,OMNIA METALS GROUP LTD,Materials,NaN,0.0
1305,OSL,ONCOSIL MEDICAL LTD,"Pharmaceuticals, Biotechnology & Life Sciences",$30M,8.333333333333341
1306,1CG,ONE CLICK GROUP LIMITED,Capital Goods,$9M,-4.545454545454534
1307,ONE,ONEVIEW HEALTHCARE PLC,Health Care Equipment & Services,$228M,-1.6666666666666683
1308,OML,OOH!MEDIA LIMITED,Media & Entertainment,$633M,1.293103448275873
1309,OLL,OPENLEARNING LIMITED,Software & Services,$10M,-5.000000000000004
1310,OPN,OPENN NEGOTIATION LIMITED,Commercial & Professional Services,NaN,0.0
1311,OPH,OPHIR HIGH CONVICTION FUND,Not Applic,$663M,-1.9801980198019675
1312,OPT,OPTHEA LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences",$936M,22.72727272727273
1313,OIL,OPTISCAN IMAGING LIMITED,Health Care Equipment & Services,$142M,-3.030303030303033
1314,OPL,OPYL LIMITED,Software & Services,$4M,-13.636363636363635
1315,OBM,ORA BANDA MINING LTD,Materials,$1B,4.651162790697678
1316,OMX,ORANGE MINERALS NL,Materials,$3M,0.0
1317,OEC,ORBITAL CORPORATION LIMITED,Capital Goods,$16M,4.761904761904766
1318,OB1,ORBMINCO LIMITED,Materials,$4M,0.0
1319,ODA,ORCODA LIMITED,Software & Services,$20M,0.0
1320,ORD,ORDELL MINERALS LIMITED,Materials,$16M,-3.1746031746031775
1321,OXT,OREXPLORE TECHNOLOGIES LIMITED,Class Pend,NaN,0.0
1322,ORI,ORICA LIMITED,Materials,$8B,-3.277745830937322
1323,ORG,ORIGIN ENERGY LIMITED,Utilities,$19B,4.2307692307692255
1324,OEQ,ORION EQUITIES LIMITED,Financial Services,$2M,0.0
1325,ORN,ORION MINERALS LTD,Materials,$96M,-6.666666666666662
1326,ORA,ORORA LIMITED,Materials,$3B,2.9411764705882475
1327,ORP,ORPHEUS URANIUM LIMITED,Materials,$9M,0.0
